MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:18:57
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141857.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 26.1
Memory(MB) =, 4270
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21978 range:373 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X30,22155,22189,22206,22216,22196,22206,22236,22206,22167,22184,22206,22184,22287,22281,22196,22252,22282,22192,22073,22230,22135,22220,22257,22189,22127,22204,22079,22211,22204,22222,22190,22203,22135,22132,22266,22211,22199,22218,22231,22175,22168,22094,22259,22230,22218,22135,22261,22222,22206,22252,22151,
X31,22153,22197,22222,22237,22204,22221,22234,22209,22171,22172,22201,22174,22298,22293,22217,22275,22291,22214,22084,22234,22125,22216,22268,22196,22120,22203,22084,22224,22205,22239,22194,22201,22133,22122,22260,22196,22202,22216,22226,22162,22178,22119,22271,22217,22227,22138,22258,22214,22202,22259,22148,
X32,22158,22187,22234,22230,22208,22231,22252,22223,22187,22203,22220,22183,22311,22298,22224,22272,22282,22218,22097,22238,22145,22222,22249,22196,22125,22215,22078,22228,22203,22231,22195,22207,22119,22113,22271,22206,22211,22222,22237,22169,22183,22123,22279,22252,22231,22154,22257,22222,22197,22266,22158,
X33,22177,22212,22239,22236,22198,22233,22257,22206,22201,22229,22238,22209,22318,22297,22243,22282,22288,22230,22097,22258,22165,22223,22277,22215,22135,22222,22087,22249,22216,22245,22191,22215,22125,22139,22283,22221,22205,22234,22235,22180,22197,22144,22297,22243,22221,22143,22261,22226,22206,22288,22165,
X34,22183,22202,22230,22244,22188,22215,22236,22197,22191,22222,22218,22205,22298,22289,22203,22255,22272,22213,22073,22222,22125,22209,22238,22201,22108,22207,22083,22227,22192,22216,22179,22185,22100,22092,22256,22200,22191,22217,22223,22154,22189,22113,22273,22213,22215,22145,22256,22215,22194,22262,22149,
X35,22183,22209,22238,22238,22217,22216,22246,22199,22189,22227,22231,22202,22301,22275,22208,22250,22267,22195,22092,22213,22128,22196,22240,22189,22111,22205,22074,22218,22191,22229,22173,22201,22117,22094,22266,22194,22178,22207,22212,22156,22182,22123,22272,22240,22216,22149,22247,22221,22194,22251,22132,
X36,22210,22245,22270,22271,22266,22259,22268,22252,22209,22258,22264,22224,22306,22301,22244,22285,22318,22218,22107,22245,22146,22233,22267,22211,22119,22222,22106,22229,22204,22246,22209,22212,22145,22130,22288,22226,22226,22235,22241,22183,22218,22145,22306,22247,22239,22165,22271,22257,22217,22280,22177,
X37,22236,22269,22306,22297,22272,22287,22288,22268,22257,22284,22287,22266,22351,22329,22269,22301,22319,22265,22133,22277,22150,22232,22296,22221,22147,22246,22115,22256,22233,22262,22227,22237,22170,22148,22323,22264,22243,22269,22280,22212,22245,22178,22344,22280,22259,22194,22307,22270,22242,22300,22203,

Sensor data,All Nodes,Exclude 4 Borders(Center)
Maximum,22351,22330
Median,22187,22190
Average,22180,22182
Minimum,21978,21978
Maximum - Minimum,373,352
Checksum1,5696,Checksum2,5697


// Half CT value. CT=11 (50.00%)
